Source,Hypothesis,Reference,Source Language,Target Language
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.",,"въпреки това тенук и кайел бързо осъзнаха, че не са сами. второ тъмно създание се изстреля зад тях и тенук едва успя да избегне сблъсъка.",en,bg
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.",,"тенук се поколеба, след това пристъпи назад, освобождавайки си място. със слаб, леко болезнен вик тялото на тенук се издължи, козината му се смени с люспи, а ръцете му – с крила. той бързо се превърна в нормално, светлосиньо траки, но очите му останаха червени.",en,bg
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.",,"чудеше се дали сега въобще ще го пусне вътре, но за разлика от предните пъти, този път той попита. все още имам синина от последния път. айвъри се засмя, като си спомни. кари хвърли книга към рамото му, но щом видя кой е, се извини веднага.",en,bg
"The ESP didn't go online immediately, let's give it a few minutes.",,"esp не се показва онлайн веднага, да изчакаме няколко минути.",en,bg
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.",,"игнасио санчез рекарте, генерален секретар на търговската асоциация comité européen des entreprises vins, представляваща около 7000 винопроизводители от цяла европа, не приема притесненията на производителите на бира. той заяви за euronews, че пазарът, доминиран от мултинационални пивоварни конгломерати, не може по никакъв начин да се сравнява с пазар, съставен почти изцяло от малки местни производители.",en,bg
@user4 @user3 @user5 @user6,,@user4 @user3 @user5 @user6,en,bg
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.",,"съдейки по състоянието на болниците ни, snp и обещанията им за план за възстановяване и план за действие са само това – обещания, при това опасни. не трябва да позволяваме на некомпетентни политици да ни въвлекат в съучастие в срутването на тази велика британска институция, националната здравна служба (nhs).",en,bg
🚨 breaking news:,,🚨 горещи новини:,en,bg
This song is encapsulates my predicament…,,тази песен обобщава моето положение...,en,bg
Both the old and the new Listing titles call it a 12V 10W panel.,,"и в новата, и в старата обява се казва панел 12 v 10 w.",en,bg
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","tenuk a kayel si však rychle uvědomili, že nejsou sami. druhé temné stvoření vyletělo zpod nich, a tenuk se jen podařilo vyhnout se kolizi.","tenuk a kayel však rychle shledali, že nejsou sami. zpoza nich se vyřítil druhý temný tvor a tenuk měl co dělat, aby se vyhnul srážce.",en,cs
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","tenuk zaváhal, pak se odvrátil a dal si trochu místa. tenuk se s nízkým, mírně bolestivým zabručením vyprostil, kožešinu nahradil ocasy a ruce nahradil křídly. rychle se změnil v normální, světle modré thraki, ale oči zůstaly rudé.","tenuk zaváhal, pak odstoupil, aby měl kolem sebe trochu víc místa. s hlubokým, trochu bolestivým zavrčením se tenukovo tělo protáhlo, jeho srst se nahradila šupinami a paže se změnily v křídla. rychle se proměnil v normálního, světle modrého thrakiho, ale jeho oči zůstaly červené.",en,cs
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","přemýšleli, jestli je skutečně nechá jít, na rozdíl od předchozích věcí, kdy se ptali. pořád mám modřinu z posledního. ivory se zasmál z paměti. kari jim hodila knihu na rameno, ale když viděla, kdo to je, okamžitě se omluvila.","zajímalo ji, jestli ji opravdu pustí dovnitř, na rozdíl od předchozích pokusů. pořád mám od posledně modřinu. ivory se při té vzpomínce uchechtla. kari po ní hodila knihu a trefila ji do ramene, ale když viděla, kdo to je, okamžitě se omluvila.",en,cs
"The ESP didn't go online immediately, let's give it a few minutes.","esp nešla hned online, dáme si to pár minut.","esp se ihned nezapnulo, ale dáme tomu pár minut.",en,cs
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","ignacio sánchez recarte, generální tajemník výboru européen des entreprises vins obchodní asociace zastupující přibližně 7 000 výrobců vína v celé evropě, odmítá obavy výrobců piva. řekl euronewsu, že trh ovládaný vícenárodními brewerskými konglomeráty nemá žádnou srovnání s trhem tvořeným téměř výhradně malými domácími výrobci.","generální tajemník obchodní asociace comité européen des entreprises vins a zástupce přibližně 7 000 výrobců vína v celé evropě ignacio sánchez recarte odmítá obavy výrobců piva. pro euronews řekl, že trh, kterému dominují mezinárodní pivovarnické konglomeráty, nemá smysl porovnávat s trhem, který je složený z převážně malých lokálních producentů.",en,cs
@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,en,cs
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","podle stavu našich nemocnic je řeč snp o plánech obnovy a akčních plánech prostě taková - řeč a nebezpečná řeč - nesmíme dovolit nekompetentním politikům, abychom nás přiměli k spoluúčasti na úpadku této velké britské instituce, národní zdravotní služby.","soudě podle stavu našich nemocnic jsou řeči snp o plánu na obnovu a plány opatření jednoduše pouze řeči, a to nebezpečné řeči. nesmíme dovolit neschopným politikům, aby nás vtáhli do spoluúčasti na pádu velké britské instituce national health service.",en,cs
🚨 breaking news:,nově se zveřejňuje:,🚨 mimořádné zprávy:,en,cs
This song is encapsulates my predicament…,tato píseň zahrnuje mé potíže...,tahle písnička stručně popisuje mou situaci…,en,cs
Both the old and the new Listing titles call it a 12V 10W panel.,staré i nové názvy listing to nazývají panelem 12v 10w.,jak starý tak nový popis uvádí 12v 10w panel.,en,cs
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.",,"det gik dog hurtigt op for tenuk og kayel, at de ikke var alene. et andet mørkt væsen skød ud under dem, og tenuk undgik med nød og næppe en kollision.",en,da
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.",,"tenuk tøvede lidt, men trådte så et skridt tilbage, så han fik lidt mere plads. med et lavt, lettere smertefuldt grynt strakte tenuks krop sig ud. hans pels blev til skæl, og hans arme blev til vinger. på et øjeblik var han forvandlet til en almindelig, lyseblå thraki, men hans øjne var stadig røde.",en,da
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.",,"de spekulerede på, om hun rent faktisk ville lade dem komme ind denne gang, til forskel fra de andre gange, hvor de havde spurgt. ""jeg har stadig en blå plet fra sidste gang,"" fnisede ivory ved tanken. kari havde kastet en bog efter dem, men da hun så, hvem det var, havde hun straks sagt undskyld.",en,da
"The ESP didn't go online immediately, let's give it a few minutes.",,"esp'en kom ikke online endnu, lad os vente et par minutter.",en,da
