Source,Hypothesis,Reference,Source Language,Target Language
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","въпреки това, тенук и кайел бързо разбрали, че не са сами. от под тях излезе второ тъмно същество, и тенук едва успял да избегне сблъсък.","въпреки това тенук и кайел бързо осъзнаха, че не са сами. второ тъмно създание се изстреля зад тях и тенук едва успя да избегне сблъсъка.",en,bg
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","тенук се задържа, после се оттегля, давайки на себе си няколко метра свободно пространство. с нисък, леко болезнен звук, тенук променя формата си, кожата му се превръща в люспи, а ръцете му се превръщат в крила. бързо се превръща в обикновен, светлосин траки, но очите му остават червени.","тенук се поколеба, след това пристъпи назад, освобождавайки си място. със слаб, леко болезнен вик тялото на тенук се издължи, козината му се смени с люспи, а ръцете му – с крила. той бързо се превърна в нормално, светлосиньо траки, но очите му останаха червени.",en,bg
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","те замислят, дали тя ще позволи, да влязат, както при предишните пъти, когато отишли да я попитат. и все още имам контузия от предишния път. ивъри се смяхва от паметта. къри е хвърлила книга по тяхното рамо, но когато види кой е, се извинява веднага.","чудеше се дали сега въобще ще го пусне вътре, но за разлика от предните пъти, този път той попита. все още имам синина от последния път. айвъри се засмя, като си спомни. кари хвърли книга към рамото му, но щом видя кой е, се извини веднага.",en,bg
"The ESP didn't go online immediately, let's give it a few minutes.","esp-ът не е започнал да работи непосредствено, дайте му няколко минути.","esp не се показва онлайн веднага, да изчакаме няколко минути.",en,bg
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","игнасио санчез рекарте, генерален секретар на комите europеен des entreprises vins търговска асоциация, представляваща около 7,000 винопроизводители от европа, отхвърля загрижеността на пивоварите. той каза на euronews, че пазар, доминиран от многонационални пивоварни конгломерати, няма нищо общо с един, съставен почти изцяло от малки, национални производители.","игнасио санчез рекарте, генерален секретар на търговската асоциация comité européen des entreprises vins, представляваща около 7000 винопроизводители от цяла европа, не приема притесненията на производителите на бира. той заяви за euronews, че пазарът, доминиран от мултинационални пивоварни конгломерати, не може по никакъв начин да се сравнява с пазар, съставен почти изцяло от малки местни производители.",en,bg
@user4 @user3 @user5 @user6,@потребител4 @потребител3 @потребител5 @потребител6,@user4 @user3 @user5 @user6,en,bg
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","от гледната точка на състоянието на нашите болници, разговорите на snp за планове за възстановяване и действия са просто разговори, и опасни разговори. не трябва да позволим некомпетентни политици да ни накарат да бъдем съучастници в упадъка на тази голяма британска институция, националната здравна служба.","съдейки по състоянието на болниците ни, snp и обещанията им за план за възстановяване и план за действие са само това – обещания, при това опасни. не трябва да позволяваме на некомпетентни политици да ни въвлекат в съучастие в срутването на тази велика британска институция, националната здравна служба (nhs).",en,bg
🚨 breaking news:,🚨 новини: бройкинг нюз:,🚨 горещи новини:,en,bg
This song is encapsulates my predicament…,този песен е символ на моята ситуация...,тази песен обобщава моето положение...,en,bg
Both the old and the new Listing titles call it a 12V 10W panel.,оба старият и новият заглавие на списъка го наричат 12v 10w панел.,"и в новата, и в старата обява се казва панел 12 v 10 w.",en,bg
