Model,Language,BLEU,COMET
alirezamsh/small100,sq,25.29,0.85
alirezamsh/small100,bg,32.65,0.81
alirezamsh/small100,hr,20.06,0.81
alirezamsh/small100,cs,25.47,0.85
alirezamsh/small100,da,36.72,0.81
alirezamsh/small100,nl,24.82,0.79
alirezamsh/small100,et,16.53,0.83
alirezamsh/small100,fi,11.34,0.78
alirezamsh/small100,fr,27.45,0.77
alirezamsh/small100,de,25.62,0.76
alirezamsh/small100,el,35.78,0.89
alirezamsh/small100,hu,19.21,0.75
alirezamsh/small100,is,NA,NA
alirezamsh/small100,it,28.96,0.82
alirezamsh/small100,lv,NA,NA
alirezamsh/small100,lt,13.65,0.78
alirezamsh/small100,mk,23.98,0.83
alirezamsh/small100,pl,17.16,0.83
alirezamsh/small100,pt,32.87,0.79
alirezamsh/small100,ro,22.28,0.84
alirezamsh/small100,sk,18.94,0.76
alirezamsh/small100,sl,23.25,0.76
alirezamsh/small100,es,34.06,0.87
alirezamsh/small100,sv,37.78,0.87
alirezamsh/small100,tr,15.13,0.81
