Dataset,Language,BLEU,COMET
WMT,bg,2.6,0.43
WMT,cs,3.11,0.48
WMT,da,3.37,0.59
WMT,de,2.73,0.49
WMT,el,2.68,0.47
WMT,es,NA,NA
WMT,et,1.98,0.49
WMT,fi,2.29,0.52
WMT,fr,3.49,0.55
WMT,hu,2.08,0.48
WMT,is,2.25,0.46
WMT,it,3.17,0.55
WMT,lt,1.5,0.47
WMT,lv,2.52,0.46
WMT,nl,3.34,0.52
WMT,pl,1.94,0.49
WMT,pt,3.08,0.56
WMT,ro,2.66,0.5
WMT,sk,2.89,0.48
WMT,sv,2.01,0.59
WMT,tr,1.52,0.46
WMT,hr,2.79,0.48
TED,sq,0.76,0.43
TED,bg,0.46,0.39
TED,hr,0.72,0.47
TED,cs,1.25,0.45
TED,da,0.75,0.54
TED,nl,0.86,0.46
TED,et,0.5,0.44
TED,fi,0.56,0.43
TED,fr,0.33,0.51
TED,de,0.45,0.41
TED,el,0.49,0.44
TED,hu,0.53,0.45
TED,is,NA,NA
TED,it,0.68,0.51
TED,lv,NA,NA
TED,lt,0.62,0.44
TED,mk,0.52,0.36
TED,nb,0.82,0.56
TED,pl,0.16,0.46
TED,pt,3.42,0.53
TED,ro,1.39,0.47
TED,sk,0.75,0.45
TED,sl,0.85,0.44
TED,es,0.69,0.53
TED,sv,2.35,0.57
TED,tr,0.92,0.42
Europarl,bg,0.77,0.42
Europarl,cs,0.81,0.45
Europarl,da,6.56,0.56
Europarl,nl,2.09,0.47
Europarl,et,0.78,0.46
Europarl,fi,2.45,0.48
Europarl,fr,0.93,0.51
Europarl,de,0.2,0.46
Europarl,el,0.34,0.44
Europarl,hu,0.13,0.44
Europarl,it,0.44,0.51
Europarl,lv,0.56,0.43
Europarl,lt,0.67,0.44
Europarl,pl,0.33,0.47
Europarl,pt,0.45,0.56
Europarl,ro,1.87,0.48
Europarl,sk,0.35,0.43
Europarl,sl,0.45,0.46
Europarl,es,1.44,0.54
Europarl,sv,0.19,0.52
Europarl,tr,NA,NA
