Dataset,Language,Source Sentence,Translation,Reference Sentence
Europarl,bg,I fear that this may even be a new source of serious conflicts.,,"Опасявам се, че това дори може да представлява нов източник на сериозни конфликти."
Europarl,bg,"After Lithuania regained independence in 1991, Ignalina Nuclear Power Plant contributed a lot to our economy and provided more than 70% of our country's energy consumption.",Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Litvánia: Lit,"След като Литва възвърна независимостта си през 1991 г. АЕЦ ""Игналина"" допринесе много за икономиката ни и осигуряваше над 70% от енергийното потребление на държавата ни."
Europarl,bg,"(RO) According to the 31 May 2010 issue of the Italian newspaper La Repubblica, some Italian insurance companies are applying a so-called nationality risk charge.",(RO),"(RO) Според броя на италианския вестник ""Република"" (La Repubblica) от 31 май 2010 г. някои италиански застрахователни дружества прилагат така наречената такса за риск, основан на националност."
Europarl,bg,The euro area as a whole is no longer in recession.,,Еврозоната като цяло вече не е в рецесия.
Europarl,bg,"I agree with Mr Belder when it comes to relaxing the visa regime and I also concur with the good things he had to say about Mr Goedhart, the Dutch representative in Taipei.",,"Съгласен съм с г-н Belder що се отнася до облекчаването на визовия режим, а също и с добрите думи, които каза за г-н Goedhart, нидерландския представител в Тайпе."
Europarl,bg,"The vote will take place at midday tomorrow (Thursday, 17 February 2011).","Voice will take place at midday tomorrow (Tuesday, 17 February 2011).","Гласуването ще се проведе утре (четвъртък, 17 февруари 2011 г.) по обед."
Europarl,bg,(HU) We can see that the crisis has undermined many European citizens' sense of security.,(HU),"(HU) Виждаме, че кризата подкопа чувството за сигурност на много европейски граждани."
Europarl,bg,WADA's response to yesterday's proposal by UEFA and FIFA alone indicates that an open attitude is completely out of the question.,WADA’s response to yesterday’s proposal by UEFA and FIFA alone indicates that an open attitude is completely out of the question.,"Отговорът на WADA на вчерашното предложение на УЕФА и ФИФА само по себе си показва, че не може да става дума за открита нагласа."
Europarl,bg,in writing. - Regarding the latter this is not the case of all Commissioners and it is unfortunate that currently we are not in a position to publish data relating to other funds received.,-,"По отношение на последния въпрос, това не се отнася за всички членове на ЕК. За съжаление, понастоящем не сме в състояние да публикуваме данни, свързани с други финансови средства."
Europarl,bg,"The proposal to introduce a Eurovignette to stop emissions from heavy goods vehicles has stalled, as has climate policy.","(s)Proposal introduction of an Eurovignette to stop emissions from heavy goods vehicles has stopped, as has climate policy.","Предложението за въвеждане на евровинетка за спиране на емисиите от тежки товарни автомобили беше умишлено забавено, както и политиката по отношение на климата."
Europarl,bg,"Otherwise, they will lose their cultural identity.",,В противен случай те ще загубят културната си идентичност.
Europarl,bg,"However, when we talk about the single market, we must also refer to the social market economy.",,"Когато говорим за единния пазар обаче, следва да споменем и социалната пазарна икономика."
Europarl,bg,"However, at present, according to international rating agencies, Spain heads the European Union poverty index, with 20% unemployment and a deficit of EUR 78 billion.",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️,"Понастоящем обаче, според международните рейтингови агенции, Испания е с най-голям индекс на бедността в Европейския съюз, с 20% безработица и дефицит от 78 млрд. евро."
Europarl,bg,"The latter two involve US authorities systematically and continuously requesting personal data for the purpose of combating crime, and especially for the fight against terrorism.",,"При последните две органите на САЩ системно и постоянно искат лични данни за целите на борбата с престъпността, и по-конкретно за борбата срещу тероризма."
