Dataset,Language,Source Sentence,Translation,Reference Sentence
WMT,bg,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Обаче, Тенук и Кайел бързо осъзнаха, че не са сами. Второ тъмно същество изскочи изпод тях и Тенук едва успя да избегне сблъсък.","Въпреки това Тенук и Кайел бързо осъзнаха, че не са сами. Второ тъмно създание се изстреля зад тях и Тенук едва успя да избегне сблъсъка."
WMT,bg,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Тенук се поколеба, после отстъпи назад, давайки си малко пространство. С ниско, леко болезнено изсумтяване, тялото на Тенук се разтегна, козината му се замени с люспи, а ръцете му – с криле. Той бързо се превърна в нормален, светлосин Траки, но очите му останаха червени.","Тенук се поколеба, след това пристъпи назад, освобождавайки си място. Със слаб, леко болезнен вик тялото на Тенук се издължи, козината му се смени с люспи, а ръцете му – с крила. Той бързо се превърна в нормално, светлосиньо Траки, но очите му останаха червени."
WMT,bg,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","Чудеха се дали този път наистина ще ги пусне, за разлика от предишните пъти, когато са ходили да я молят. Аз все още имам синина от последния път. Айвъри се изкиска при спомена. Кари ги беше замерила с книга в рамото, но когато видя кои са, веднага се извини.","Чудеше се дали сега въобще ще го пусне вътре, но за разлика от предните пъти, този път той попита. Все още имам синина от последния път. Айвъри се засмя, като си спомни. Кари хвърли книга към рамото му, но щом видя кой е, се извини веднага."
WMT,bg,"The ESP didn't go online immediately, let's give it a few minutes.","ESP-то не се включи веднага онлайн, нека му дадем няколко минути.","ESP не се показва онлайн веднага, да изчакаме няколко минути."
WMT,bg,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Игнасио Санчес Рекарте, генерален секретар на търговската асоциация Comité Européen des Entreprises Vins (CEEV), представляваща около 7000 производители на вино в цяла Европа, отхвърля опасенията на производителите на бира. Той заяви пред Euronews, че пазар, доминиран от мултинационални пивоварни конгломерати, не може да се сравнява с такъв, съставен почти изцяло от малки, местни производители.","Игнасио Санчез Рекарте, генерален секретар на търговската асоциация Comité Européen des Entreprises Vins, представляваща около 7000 винопроизводители от цяла Европа, не приема притесненията на производителите на бира. Той заяви за Euronews, че пазарът, доминиран от мултинационални пивоварни конгломерати, не може по никакъв начин да се сравнява с пазар, съставен почти изцяло от малки местни производители."
WMT,bg,@user4 @user3 @user5 @user6,"@user4 @user3 @user5 @user6  doesn't need translation.  The ""@"" symbol and user handles are universally understood online and used the same way in Bulgarian as in English.",@user4 @user3 @user5 @user6
WMT,bg,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Съдейки по състоянието на нашите болници, приказките на Шотландската национална партия за планове за възстановяване и планове за действие са просто това - приказки, и то опасни приказки. Не бива да позволяваме на некомпетентни политици да ни приспят в съучастие в гибелта на тази велика британска институция, Националната здравна служба.","Съдейки по състоянието на болниците ни, SNP и обещанията им за план за възстановяване и план за действие са само това – обещания, при това опасни. Не трябва да позволяваме на некомпетентни политици да ни въвлекат в съучастие в срутването на тази велика британска институция, Националната здравна служба (NHS)."
WMT,bg,🚨 breaking news:,🚨  Новина в развитие:,🚨 горещи новини:
WMT,bg,This song is encapsulates my predicament…,"This sentence can be translated to Bulgarian in a few ways, depending on the nuance you want to convey:

**Formal:**

* Тази песен капсулира моето затруднение… (Tazi pesen kapsulira moeto zatrudnenie…) - This is a very literal translation, using the word ""капсулира"" (kapsulira), which means ""encapsulates"".  It might sound a bit stiff or technical.

**More natural/idiomatic options:**

* Тази песен описва идеално моето положение… (Tazi pesen opisiva idealno moeto polozhenie…) - This song perfectly describes my situation…
* Тази песен изразява точно моето затруднение… (Tazi pesen izrazhava tochno moeto zatrudnenie…) - This song expresses my predicament precisely…
* Тази песен е точно за моето положение… (Tazi pesen e tochno za moeto polozhenie…) - This song is exactly about my situation…
* В тази песен се разпознавам… (V tazi pesen se razpoznavam…) - I recognize myself in this song… (This emphasizes the personal connection)
* Тази песен е сякаш написана за мен… (Tazi pesen e syakash napisana za men…) - This song is as if it were written for me… (This emphasizes the song's relevance to the speaker's predicament)


The best option depends on the context.  If you're trying to be dramatic or poetic, one of the more figurative options might be better. If you're just stating a fact, the literal translation or one of the simpler options might suffice.",Тази песен обобщава моето положение...
WMT,bg,Both the old and the new Listing titles call it a 12V 10W panel.,"И старото, и новото заглавие на обявата го наричат 12V 10W панел.","И в новата, и в старата обява се казва панел 12 V 10 W."
