Model Name,Dataset,Language,Source Sentence,Translation,Reference Sentence
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Men Tenuk og Kayel innså raskt at de ikke var alene. En andre mørk skapning sköt ut under dem, og Tenuk klarte bare å unngå en kollision.","Tenuk og Kayel innså raskt at de ikke var alene. En ny mørk skapning skjøt ut under dem, og Tenuk greide så vidt å unngå en kollisjon."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Tenuk tvilte, så steg tillbaka, vilket gav sig lite utrymme. Med en låg, lite smertefull grynt, Tenuks kropp utsträckt, hans päls erstatt med fjäll och hans armar erstatt med vingar. Han förvandlade sig snabbt till en normal, lyseblå Thraki, men hans ögon forblev röda.","Tenuk nølte og gikk litt tilbake for å gi seg selv litt plass. Med et lavt, litt smertefullt grynt strakk Tenuks kropp seg ut, pelsen hans ble erstattet av skjell, og armene hans erstattet med vinger. Han gjorde seg raskt om til en normal, lyseblå thraki, men øynene hans forble røde."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","De lurte på om hun faktisk ville la dem komme inn, i motsetning til de tidligere gangene de gikk for å spørre. Jeg har fortsatt en blåmerke fra sist gang. Elfenben chuckled fra minnet. Kari hadde kastat en bok på skulderen, men da hun så hvem det var, bad hun om ursäkt med det samme.","De lurte på om hun faktisk ville la dem komme inn, i motsetning til da de hadde spurt tidligere. Jeg har fortsatt et sår fra den gangen. Ivory lo av minnet. Kari hadde kastet en bok på skulderen deres, men da hun så hvem det var, beklaget hun øyeblikkelig."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"The ESP didn't go online immediately, let's give it a few minutes.","ESP gick inte online omedelbart, låt oss ge det några minuter.","ESP ble ikke tilkoblet umiddelbart, la oss vente et par minutter."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Ignacio Sánchez Recarte, generalsekreterare i Comité Européen des Entreprises Vins, som företräder omkring 7000 vinproducenter i Europa, avfärdar ölproducenternas farhågor. Han sa till Euronews att en marknad som domineras av multinationelle bryggerikonglomerater, inte kan jämföras med en som består nästan helt av små, inhemska producenter.","Ignacio Sánchez Recarte, generalsekretær i bransjeorganisasjonen Comité Européen des Enterprises Vins, representerer omkring 7000 vinprodusenter i Europa og avviser bekymringene fra ølprodusentene. Han sier til Euronews at et marked dominert av multinasjonale storkonsern ikke kan sammenlignes med et marked som nesten bare består av små, innenlandske produsenter."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Att döma av tillståndet på våra hospitaler, SNPs tal om återhämtningsplaner och handlingsplaner är helt enkelt det - prat, och farligt prat på det. Vi får inte låta inkompetente politikere invagga oss i medskyldighet i den stora brittiska institutionens, National Health Service, undergång.","Hvis man skal dømme etter tilstanden på sykehusene våre, er SNPs snakk om utbedringsplaner og handlingsplaner bare det – snakk, og farlig snakk til og med. Vi må ikke la inkompetente politikere lure oss til å bli medskyldige i forfallet til den flotte britiske institusjonen, National Health Service."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,🚨 breaking news:,breaking news:,🚨 Siste nytt:
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,This song is encapsulates my predicament…,Den här låten er encapsulates min predicament...,Denne sangen er problemet mitt i et nøtteskall ...
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,Both the old and the new Listing titles call it a 12V 10W panel.,Både den gamla och den nya Listing titlar kallar det en 12V 10W panel.,Både de gamle og nye spesifikasjonene kaller det er 12 V 10 W-panel.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Isn’t that funny? We have half the manpower left, and we can’t even refrain from hurting one another. I hastily sped up, Al’s was around the corner, so I would be fine inside. A glance behind me ensured that I was no longer being tailed as I stood in front of a bright glowing sign that read, “Alborn’s Pawnshop!” With slower steps, I entered once again–this place was more under the cover, as Alborn would often take in people who’d been mutated and snuck into Paltricus. Upon opening the door, the lights had been shut off, interestingly enough–there was no Al. No refugees. Nothing. Something wasn’t right here.","Er det ikke morsomt? Vi har halva arbetskraften kvar, og vi kan inte ens avstå fra å såre hverandre. Jeg skyndte mig, Al's var runt hörnet, så jag ville ikke ha det bra inne. En blick bakom mig säkerställde att jag inte längre var tailed som jeg stod foran en lysende skylt som læste, ""Alborn's Pawnshop var nok!"" Med langsommere steg, jeg kom inn igen.","Er det ikke rart? Vi har halve arbeidsstyrken igjen, og vi greier ikke å unngå å skade hverandre likevel. Jeg økte farten, AI`s var rett rundt hjørnet, og jeg var trygg på innsiden. Med et lite gløtt bak meg forsikret jeg meg om at jeg ikke lenger ble skygget, idet jeg stod foran en lyst, glødende skilt med teksten «Alborn`s Pawnshop!». Med langsommere skritt nærmet jeg meg nok en gang – dette stedet var mer skjult, siden Alborn ofte tok inn folk som hadde blitt mutert og sneket seg inn i Paltricus. Da jeg åpnet døren, var lysene slått av, men interessant nok var det ingen Al. Ingen flyktninger. Ingenting. Det var noe som ikke stemte."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,These good quality stickers are about 50p each. They'll cost the same again to post. And way more in my own time to individually package and send them.,Dessa god kvalitet klistermärken är ca 50p varje. De kommer att kosta det samma igen för att posta. Och mycket mer i min egen tid att individuellt paketera och skicka dem.,Disse klistremerkene av god kvalitet koster rundt 7 kr hver. De vil koste det samme å postlegge. Og mye mer av min egen tid å pakke og sende dem enkeltvis.
