Dataset,Language,Source Sentence,Translation,Reference Sentence
WMT,bg,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Тенук и Кайел обаче бързо осъзнаха, че не са сами. Второ тъмно създание изскочи изпод тях и Тенук едва успя да избегне сблъсък.","Въпреки това Тенук и Кайел бързо осъзнаха, че не са сами. Второ тъмно създание се изстреля зад тях и Тенук едва успя да избегне сблъсъка."
WMT,bg,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Тенук се поколеба, после отстъпи назад, оставяйки си малко пространство. С тихо, леко болезнено сумтене, тялото на Тенук се изпъна, козината му беше заменена с люспи, а ръцете му – с крила. Той бързо се превърна в нормален, светлосин тракиец, но очите му останаха червени.","Тенук се поколеба, след това пристъпи назад, освобождавайки си място. Със слаб, леко болезнен вик тялото на Тенук се издължи, козината му се смени с люспи, а ръцете му – с крила. Той бързо се превърна в нормално, светлосиньо Траки, но очите му останаха червени."
WMT,bg,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","Чудеха се дали наистина ще ги пусне да влязат, за разлика от предишните пъти, когато отидоха да поискат. Още имам синина от последния път. Айвъри се засмя от спомена. Кари беше хвърлила книга на рамото им, но когато видя кой е, веднага се извини.","Чудеше се дали сега въобще ще го пусне вътре, но за разлика от предните пъти, този път той попита. Все още имам синина от последния път. Айвъри се засмя, като си спомни. Кари хвърли книга към рамото му, но щом видя кой е, се извини веднага."
WMT,bg,"The ESP didn't go online immediately, let's give it a few minutes.","ESP не се включи веднага, нека му дадем няколко минути.","ESP не се показва онлайн веднага, да изчакаме няколко минути."
WMT,bg,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Игнасио Санчес Рекарт, генерален секретар на търговската асоциация Comité Européen des Entreprises Vins, представляваща около 7 000 винопроизводители в цяла Европа, пренебрегва опасенията на производителите на бира. Той каза пред Euronews, че пазар, доминиран от мултинационални пивоварни конгломерати, не може да се сравнява с пазар, който се състои почти изцяло от малки местни производители.","Игнасио Санчез Рекарте, генерален секретар на търговската асоциация Comité Européen des Entreprises Vins, представляваща около 7000 винопроизводители от цяла Европа, не приема притесненията на производителите на бира. Той заяви за Euronews, че пазарът, доминиран от мултинационални пивоварни конгломерати, не може по никакъв начин да се сравнява с пазар, съставен почти изцяло от малки местни производители."
WMT,bg,@user4 @user3 @user5 @user6,@потребител4 @потребител3 @потребител5 @потребител6,@user4 @user3 @user5 @user6
WMT,bg,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Съдейки по състоянието на нашите болници, говоренето на SNP за планове за възстановяване и планове за действие е просто това - говорене, при това опасно говорене. Не трябва да позволяваме на некомпетентни политици да ни въвличат в съучастие в смъртта на тази велика британска институция, Националната здравна служба.","Съдейки по състоянието на болниците ни, SNP и обещанията им за план за възстановяване и план за действие са само това – обещания, при това опасни. Не трябва да позволяваме на некомпетентни политици да ни въвлекат в съучастие в срутването на тази велика британска институция, Националната здравна служба (NHS)."
WMT,bg,🚨 breaking news:,🚨 извънредни новини:,🚨 горещи новини:
WMT,bg,This song is encapsulates my predicament…,Тази песен капсулира моето затруднение...,Тази песен обобщава моето положение...
WMT,bg,Both the old and the new Listing titles call it a 12V 10W panel.,"Както старите, така и новите заглавия на списъка го наричат панел 12V 10W.","И в новата, и в старата обява се казва панел 12 V 10 W."
WMT,bg,"Isn’t that funny? We have half the manpower left, and we can’t even refrain from hurting one another. I hastily sped up, Al’s was around the corner, so I would be fine inside. A glance behind me ensured that I was no longer being tailed as I stood in front of a bright glowing sign that read, “Alborn’s Pawnshop!” With slower steps, I entered once again–this place was more under the cover, as Alborn would often take in people who’d been mutated and snuck into Paltricus. Upon opening the door, the lights had been shut off, interestingly enough–there was no Al. No refugees. Nothing. Something wasn’t right here.","Не е ли смешно? Остана ни половината жива сила и дори не можем да се въздържим да не се нараним един друг. Бързо ускорих, Ал беше зад ъгъла, така че щях да съм добре вътре. Един поглед зад мен се увери, че вече не ме следят, докато стоях пред ярко светеща табела, която гласеше „Заложната къща на Албърн!“ С по-бавни стъпки влязох отново – това място беше по-скоро под прикритието, тъй като Алборн често приемаше хора, които бяха мутирали и се промъкнаха в Палтрикус. При отваряне на вратата светлините бяха изключени, интересно – нямаше Ал. Без бежанци. Нищо Нещо не беше наред тук.","Не е ли забавно? Намаляхме наполовина и дори не можем да спрем да се нараняваме сами. Забързах се, Aл беше зад ъгъла и щях да съм на сигурно място вътре. Погледнах зад мен да се уверя, че не ме следят, докато стоях пред светла табела „Заложната къща на Алборн!“. С бавни крачки влязох вътре – това беше място под прикритие, защото Алборн приютяваше мутирали хора и ги вмъкваше в Палтрикус. След като отворих вратата, светлините бяха загасени, а по-интересното – Ал го нямаше. Нямаше бежанци. Нищо. Нещо не беше наред."
