Model Name,Dataset,Language,Source Sentence,Translation,Reference Sentence
Helsinki-NLP/opus-mt-en-sq,TED,sq,"It was like, """" Don't mess with me.","Ishte si, ""Mos u ngatërro me mua.","ishte pak a shume, """" Mos u ngaterro me mua."
Helsinki-NLP/opus-mt-en-sq,TED,sq,Do not fear what has blown up.,Mos kini frikë nga ajo që ka shpërthyer.,Mos u frikeso nga ajo c 'ka shpertheu.
Helsinki-NLP/opus-mt-en-sq,TED,sq,"So if you look at the hip surgery story again, there was a study done a couple years ago where they compared the U.S. and Sweden.","Pra, nëse shikoni përsëri historinë e kirurgjisë së legenit, u bë një studim disa vjet më parë, ku ata krahasuan SHBA-në dhe Suedinë.","Pra n.q.s shikojmë tek kirurgjia e legenit përsëri, ka qënë bërë një studim disa vite më parë që kanë krahasur U.S dhe Suedinë."
Helsinki-NLP/opus-mt-en-sq,TED,sq,"Life is a right, not collateral or casual.","Jeta është një e drejtë, jo kolateral apo rastësore.","Jeta eshte e drejte, nuk vjen si pasoje e as rastesisht."
Helsinki-NLP/opus-mt-en-sq,TED,sq,"This can be viewed from any of the cardinal directions to show you the 3D structure of the city, all the facades.","Kjo mund të shihet nga çdo drejtim kryesor për t'ju treguar strukturën 3D të qytetit, të gjitha fasadat.","Kjo mund të shihet nga secili nga drejtimet kryesore t 'ju tregojë strukturën 3D te qytetit, të gjitha fasadat."
Helsinki-NLP/opus-mt-en-sq,TED,sq,"Today, viruses are a global problem.",Sot viruset janë një problem global.,Sot viruset janë një problem global.
Helsinki-NLP/opus-mt-en-sq,TED,sq,"(Laughter) Through the artifacts, I bring social issues which surround me in Russia into the conversation.","Me anë të objekteve, sjell çështje sociale që më rrethojnë në Rusi gjatë bisedës.",(Te qeshura) Nepermjet objekteve une sjell ceshtje sociale qe me rrethojne mua ne Rusi neper biseda.
Helsinki-NLP/opus-mt-en-sq,TED,sq,Every single email you write is saved and sent to the criminals.,Çdo email që shkruan ruhet dhe dërgohet tek kriminelët.,Çdo email që shkruani ruhet dhe u dërgohet shkelësve të ligjit.
Helsinki-NLP/opus-mt-en-sq,TED,sq,"But combined in a certain way, they can create something that still looks three-dimensional, like it could exist.","Por të kombinuara në një mënyrë të caktuar, ata mund të krijojnë diçka që ende duket tre-dimensionale, sikur mund të ekzistojë.","Mirëpo të kombinuar në mënyra të ndryshme, ato mund të krijojnë diçka që mund të duket me të vërtetë tri-dimensionale, sikur të kishte ekzistruar."
Helsinki-NLP/opus-mt-en-sq,TED,sq,We have to try better. Let's show them another example.,"Duhet të përpiqemi më mirë, t'u tregojmë një shembull tjetër.",Ne duhet të përpiqemi më shumë. Le t 'ju japim atyre një shembull tjetër.
Helsinki-NLP/opus-mt-en-sq,TED,sq,The best part about restorative seafood though is that it comes on the half-shell with a bottle of Tabasco and lemon wedges.,Pjesa më e mirë për ushqimin e detit restaurues është se vjen me një shishe tabasko dhe me marijuanë limoni.,Por pjesa me e mire mbi ushqim deti restaurues eshte qe vjen ne gjysem me nje shishe Tabasco dhe copa limoni.
Helsinki-NLP/opus-mt-en-sq,TED,sq,"At that moment, I started thinking.","Në atë moment, fillova të mendoja.","Në atë moment, fillova të mendoj."
Helsinki-NLP/opus-mt-en-sq,TED,sq,We learn these really bad lessons really well.,I mësojmë vërtet mirë këto mësime të këqija.,Ne i mësojmë këto mësime të këqija shumë mirë.
Helsinki-NLP/opus-mt-en-sq,TED,sq,"Now, why does this happen?","Tani, pse ndodh kjo?","Tani, pse ndodh kjo?"
Helsinki-NLP/opus-mt-en-sq,TED,sq,So what's it like to be a baby?,Si është të jesh fëmijë?,"Pra, si eshte te jesh bebe?"
Helsinki-NLP/opus-mt-en-sq,TED,sq,You guys are answering the question: How does it feel to realize you're wrong?,Ju djema po i përgjigjeni pyetjes: si ndihesh kur e kupton që e ke gabim?,Ju iu përgjigjët pyetjes: Si ndiheni kur e kuptoni se keni gabuar?
Helsinki-NLP/opus-mt-en-sq,TED,sq,"On the right side you can see my colleague Soren, who's actually in the space.","Në anën e djathtë mund të shihni kolegun tim Soren, i cili është në hapësirë.","Ne krahun e djathtë timin mund të shihni kolegun tim Soren, i cili është ne hapsir."
Helsinki-NLP/opus-mt-en-sq,TED,sq,In a way that dresses like us and thinks like we do.,Në një mënyrë që vishet si ne dhe mendon si ne.,Në një mënyrë që të vishet si ne dhe të mendojë ashtu si ne.
Helsinki-NLP/opus-mt-en-sq,TED,sq,"It's an assumption that modernity is a product simply of competition, markets and technology.","Është një supozim se modernizimi është thjesht një produkt i konkurrencës, tregjeve dhe teknologjisë.","Është një supozim se modernizmi është thjesht një produkt i konkurrencës, tregjeve, dhe teknologjisë."
Helsinki-NLP/opus-mt-en-sq,TED,sq,So I proposed to the mayor while I was making partitions.,"Kështu që i propozova kryetarit të bashkisë, ndërsa po bëja ndarje.",Keshtuqe i propozova kryebashkiakut ne kohen kur po beja panelet ndares.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,I would therefore urge you to include a paragraph on regions.,Jag vill därför uppmana er att ta med ett stycke om regionerna.,Jag uppmanar därför med kraft till att en punkt angående regionerna skall antas.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"Finally, Mr President, major alterations must be made to the Council' s common position.","Slutligen, herr talman, måste man göra stora ändringar i rådets gemensamma ståndpunkt.","Avslutningsvis, herr talman, behöver det göras viktiga ändringar i den här gemensamma ståndpunkten från rådet."
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"We must not, however, be afraid to use legislation if this is what is required for us to achieve our objectives.",Vi får dock inte vara rädda för att använda lagstiftning om detta är vad som krävs för att vi ska kunna uppnå våra mål.,"Men vi får inte vara rädda att använda lagstiftningen, om det är det som måste till för att vi skall kunna nå vårt mål."
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,It was the European Union which had to take charge of this whole issue.,Det var Europeiska unionen som var tvungen att ta hand om hela denna fråga.,Det var EU som måste ta sig an hela denna fråga.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"If it is going to be, please tell us.","Om det kommer att vara, berätta för oss.",Om det ska bli ett krav så var vänlig och säg det.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"We can truly hope, Mr President, ladies and gentlemen, that this issue will be concluded in the coming months, with this decision on a final date, set as the start of June, when the Council will, in fact, have to make its decision.","Vi kan verkligen hoppas, herr talman, mina damer och herrar, att denna fråga kommer att avslutas under de kommande månaderna, med detta beslut om ett sista datum, som skall vara i början av juni, då rådet faktiskt måste fatta sitt beslut.",Vi kan verkligen hoppas att denna fråga kommer att avslutas under de närmaste månaderna i och med detta beslut om ett slutdatum i början på juni då rådet faktiskt måste fatta sitt beslut.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,Its requirements offer a chance for the Western model of rule of law and internal and external stability in the region.,Dess krav erbjuder en chans för den västerländska modellen av rättsstatsprincipen och intern och extern stabilitet i regionen.,Kraven i denna plan utgör en möjlighet för västvärldens rättstatsmodell och den interna och externa stabiliteten i regionen.
