Model,Language,Source Sentence,Translation,Reference Sentence
alirezamsh/small100,bg,I fear that this may even be a new source of serious conflicts.,"страхувам се, че това може да бъде и нов източник на сериозни конфликти.","опасявам се, че това дори може да представлява нов източник на сериозни конфликти."
alirezamsh/small100,bg,"After Lithuania regained independence in 1991, Ignalina Nuclear Power Plant contributed a lot to our economy and provided more than 70% of our country's energy consumption.","след възстановяването на независимостта на литва през 1991 г., атомната електроцентрала ignalina е допринесела значително за икономиката ни и е осигурила повече от 70% от потреблението на енергия на страната ни.","след като литва възвърна независимостта си през 1991 г. аец ""игналина"" допринесе много за икономиката ни и осигуряваше над 70% от енергийното потребление на държавата ни."
alirezamsh/small100,bg,"(RO) According to the 31 May 2010 issue of the Italian newspaper La Repubblica, some Italian insurance companies are applying a so-called nationality risk charge.","според изданието на италианския вестник la repubblica на 31 май 2010 г., някои италиански застрахователни компании прилагат така наречената такса за риска от гражданство.","(ro) според броя на италианския вестник ""република"" (la repubblica) от 31 май 2010 г. някои италиански застрахователни дружества прилагат така наречената такса за риск, основан на националност."
alirezamsh/small100,bg,The euro area as a whole is no longer in recession.,еврозоната като цяло вече не е в рецесия.,еврозоната като цяло вече не е в рецесия.
alirezamsh/small100,bg,"I agree with Mr Belder when it comes to relaxing the visa regime and I also concur with the good things he had to say about Mr Goedhart, the Dutch representative in Taipei.","съгласен съм с г-н белдер, когато става въпрос за успокояване на визовия режим, и аз също се съгласявам с добрите неща, които той трябваше да каже за г-н годхарт, нидерландския представител в тайпея.","съгласен съм с г-н belder що се отнася до облекчаването на визовия режим, а също и с добрите думи, които каза за г-н goedhart, нидерландския представител в тайпе."
alirezamsh/small100,bg,"The vote will take place at midday tomorrow (Thursday, 17 February 2011).","гласуването ще се проведе утре (в четвъртък, 17 февруари 2011 г.).","гласуването ще се проведе утре (четвъртък, 17 февруари 2011 г.) по обед."
alirezamsh/small100,bg,(HU) We can see that the crisis has undermined many European citizens' sense of security.,"можем да видим, че кризата е подкопала чувството за сигурност на много европейски граждани.","(hu) виждаме, че кризата подкопа чувството за сигурност на много европейски граждани."
alirezamsh/small100,bg,WADA's response to yesterday's proposal by UEFA and FIFA alone indicates that an open attitude is completely out of the question.,"отговорът на wada на вчерашното предложение само от уефа и фифа показва, че отвореното отношение е изцяло извън въпроса.","отговорът на wada на вчерашното предложение на уефа и фифа само по себе си показва, че не може да става дума за открита нагласа."
alirezamsh/small100,bg,in writing. - Regarding the latter this is not the case of all Commissioners and it is unfortunate that currently we are not in a position to publish data relating to other funds received.,"що се отнася до последния, това не е случаят с всички комисари и е жалко, че в момента не сме в състояние да публикуваме данни, свързани с други получени фондове.","по отношение на последния въпрос, това не се отнася за всички членове на ек. за съжаление, понастоящем не сме в състояние да публикуваме данни, свързани с други финансови средства."
alirezamsh/small100,bg,"The proposal to introduce a Eurovignette to stop emissions from heavy goods vehicles has stalled, as has climate policy.","предложението за въвеждане на евровинет за спиране на емисиите от тежкотоварни превозни средства е спряно, както има политиката в областта на климата.","предложението за въвеждане на евровинетка за спиране на емисиите от тежки товарни автомобили беше умишлено забавено, както и политиката по отношение на климата."
alirezamsh/small100,bg,"Otherwise, they will lose their cultural identity.",в противен случай те ще загубят своята културна идентичност.,в противен случай те ще загубят културната си идентичност.
alirezamsh/small100,bg,"However, when we talk about the single market, we must also refer to the social market economy.","въпреки това, когато говорим за единния пазар, трябва да се отнасяме и до социалната пазарна икономика.","когато говорим за единния пазар обаче, следва да споменем и социалната пазарна икономика."
alirezamsh/small100,bg,"However, at present, according to international rating agencies, Spain heads the European Union poverty index, with 20% unemployment and a deficit of EUR 78 billion.","в момента обаче, според международните рейтингови агенции, испания е начело на индекса на бедността на европейския съюз, с 20% безработица и дефицит от 78 млрд. евро.","понастоящем обаче, според международните рейтингови агенции, испания е с най-голям индекс на бедността в европейския съюз, с 20% безработица и дефицит от 78 млрд. евро."
alirezamsh/small100,bg,"The latter two involve US authorities systematically and continuously requesting personal data for the purpose of combating crime, and especially for the fight against terrorism.",последните две включват американските власти систематично и непрекъснато искат лични данни за целите на борбата с престъпността и по-специално за борба с тероризма.,"при последните две органите на сащ системно и постоянно искат лични данни за целите на борбата с престъпността, и по-конкретно за борбата срещу тероризма."
alirezamsh/small100,bg,"Commissioner, I would like to ask you - as we already know the position of the President-in-Office - if you think, from an ethical and democratic point of view, in response to the deplorable events such as the death of Mr Zapata, and if the Commission thinks, that relations between the European Union and Cuba need to be raised to a higher level and given priority?","комисар, бих искал да ви попита – както вече знаем позицията на президента в офиса – дали смятате, от етична и демократична гледна точка, в отговор на жалните събития като смъртта на г-н запата, и ако комисията смята, че отношенията между европейския съюз и куба трябва да бъдат повишени на по-високо ниво и дадени приоритети?","г-жо член на комисията, бих искал да попитам вас - тъй като вече знаем становището на действащия председател - дали вие считате, от етична и демократична гледна точка, в отговор на съкрушителни събития като смъртта на г-н сапата, и дали комисията счита, че отношенията между европейския съюз и куба трябва да бъдат издигнати на по-високо равнище и да им бъде даден приоритет?"
alirezamsh/small100,bg,We would like to receive an answer and also news from the Commission in this regard.,бихме искали да получим отговор и новини от комисията в това отношение.,"искаме да получим отговор, както и новини от комисията в това отношение."
alirezamsh/small100,bg,"Linking the second pillar to cohesion policy measures would, however, require the close coordination of activities at national level.","въпреки това, свързването на втория стълб с мерките в политиката на сближаване ще изисква тясна координация на дейностите на национално равнище.",обвързването на втория стълб с политиката на сближаване същевременно изисква тясно координиране на дейностите на национално равнище.
alirezamsh/small100,bg,"The example of Germany shows how a coal pact between central government, the federal states, unions and management can result in efficient coal production without the need for redundancies.","примерът на германия показва как споразумението за въглища между централното правителство, федералните държави, съюзите и управлението може да доведе до ефективно производство на въглища, без да се изисква редуданти.","примерът на германия показва как пакт за въглищата между централното правителство, федералните провинции, съюзите и управлението може да доведе до ефикасно производство на въглища, без да са необходими съкращения."
alirezamsh/small100,bg,"At a time when almost 25 million Europeans are registered as unemployed, a directive aimed at facilitating the immigration of job seekers has once again been tabled.","в момента, в който почти 25 милиона европейци са регистрирани като безработни, отново е въведена директива за улесняване на имиграцията на търсещите работа.","във време, когато почти 25 млн. европейци са регистрирани като безработни, отново беше внесена директива, целяща да улесни имиграцията на лица, търсещи работа."
alirezamsh/small100,bg,"(FR) Mr President, I would ask you to wait a little while longer because many Members are still stuck in the lifts.","(fr) господин президент, бих ви помолил да изчакате малко по-дълго, защото много членове все още са задържани в асансьорите.","(fr) г-н председател, искам да ви помоля да изчакаме още малко, тъй като много от членовете на еп още са в асансьорите и затова се бавят."
alirezamsh/small100,cs,"Since the founding of the Irish State, it has been demonstrated that the proportional representation system is a fair and equal system.","od založení irského státu bylo prokázáno, že systém proporcionálního zastupování je spravedlivý a rovný systém.","od založení irské republiky bylo mnohokrát prokázáno, že systém poměrného zastoupení je zcela objektivní a spravedlivý."
alirezamsh/small100,cs,"Since 2007, however, the Erasmus Programme has also been supporting student placements in enterprises.",od roku 2007 však program erasmus podporuje také umístění studentů do podniků.,program erasmus však od roku 2007 podporuje také umisťování studentů v podnicích.
alirezamsh/small100,cs,"On the supply side, the crisis may lead to a reduction in the level of funding for public health, at the same time as it may lead to increased demand for health services.",na straně dodávek může krize vést k snížení míry financování veřejného zdraví a zároveň může vést k zvýšené poptávce po zdravotnických službách.,"na straně nabídky může krize přinést snížení objemu financování veřejného zdravotnictví, zatímco současně může dojít ke zvýšení poptávky po zdravotnických službách."
alirezamsh/small100,cs,Liberalisation means attacking the victories of workers and the sovereignty of peoples as well as environmental destruction.,"liberalizace znamená napadnout vítězství dělníků a svrchovanost národů, stejně jako ničení životního prostředí.","liberalizace představuje útok na vítězství pracujících a suverenitu národů, stejně tak ničení životního prostředí."
alirezamsh/small100,cs,"Mr President, while many elements of an efficient single market may be welcome, defence and thus by extension defence industries are a very special case: they have a unique national strategic importance.","zatímco mnohé prvky efektivního jednotného trhu mohou být vítány, obranné průmyslové odvětví a tím i rozšiřování obranné odvětví jsou velmi zvláštním případem: mají jedinečný národní strategický význam.","pane předsedající, zatímco můžeme vítat řadu prvků efektivního jednotného trhu, obrana a tedy i obranný průmysl jsou velmi zvláštní případ: mají jedinečný národní strategický význam."
