Model,Language,Source Sentence,Translation,Reference Sentence
alirezamsh/small100,sq,"It was like, """" Don't mess with me.",Ishte si: “Mos u shqetësoni me mua.,"ishte pak a shume, """" Mos u ngaterro me mua."
alirezamsh/small100,sq,Do not fear what has blown up.,Mos kini frikë nga ajo që ka shpërthyer.,Mos u frikeso nga ajo c 'ka shpertheu.
alirezamsh/small100,sq,"So if you look at the hip surgery story again, there was a study done a couple years ago where they compared the U.S. and Sweden.","Pra, nëse shikoni historinë e kirurgjisë hip përsëri, ka pasur një studim të bërë disa vjet më parë ku ata krahasuan SHBA-në dhe Suedi.","Pra n.q.s shikojmë tek kirurgjia e legenit përsëri, ka qënë bërë një studim disa vite më parë që kanë krahasur U.S dhe Suedinë."
alirezamsh/small100,sq,"Life is a right, not collateral or casual.","Jeta është e drejtë, jo kolateral apo rastësor.","Jeta eshte e drejte, nuk vjen si pasoje e as rastesisht."
alirezamsh/small100,sq,"This can be viewed from any of the cardinal directions to show you the 3D structure of the city, all the facades.","Kjo mund të shihet nga ndonjë nga drejtimet kardinalë për t'ju treguar strukturën 3D të qytetit, të gjitha fasadat.","Kjo mund të shihet nga secili nga drejtimet kryesore t 'ju tregojë strukturën 3D te qytetit, të gjitha fasadat."
alirezamsh/small100,sq,"Today, viruses are a global problem.","Sot, viruset janë një problem global.",Sot viruset janë një problem global.
alirezamsh/small100,sq,"(Laughter) Through the artifacts, I bring social issues which surround me in Russia into the conversation.","(qesh) Nëpërmjet artefakteve, unë sjell në bisedë çështjet sociale që më rrethojnë në Rusi.",(Te qeshura) Nepermjet objekteve une sjell ceshtje sociale qe me rrethojne mua ne Rusi neper biseda.
alirezamsh/small100,sq,Every single email you write is saved and sent to the criminals.,Çdo email që shkruani është shpëtuar dhe dërguar për kriminelët.,Çdo email që shkruani ruhet dhe u dërgohet shkelësve të ligjit.
alirezamsh/small100,sq,"But combined in a certain way, they can create something that still looks three-dimensional, like it could exist.","Por së bashku në një mënyrë të caktuar, ata mund të krijojnë diçka që ende duket tre-dimensionale, sikur mund të ekzistojë.","Mirëpo të kombinuar në mënyra të ndryshme, ato mund të krijojnë diçka që mund të duket me të vërtetë tri-dimensionale, sikur të kishte ekzistruar."
alirezamsh/small100,sq,We have to try better. Let's show them another example.,"Ne duhet të provojmë më mirë, le t’i tregojmë atyre një shembull tjetër.",Ne duhet të përpiqemi më shumë. Le t 'ju japim atyre një shembull tjetër.
alirezamsh/small100,sq,The best part about restorative seafood though is that it comes on the half-shell with a bottle of Tabasco and lemon wedges.,"Pjesa më e mirë në lidhje me ushqimet e detit restaurative, megjithatë, është se ajo vjen në gjysmë-shell me një shishe të Tabasco dhe të limonit.",Por pjesa me e mire mbi ushqim deti restaurues eshte qe vjen ne gjysem me nje shishe Tabasco dhe copa limoni.
alirezamsh/small100,sq,"At that moment, I started thinking.",Në atë moment fillova të mendoj.,"Në atë moment, fillova të mendoj."
alirezamsh/small100,sq,We learn these really bad lessons really well.,Ne mësojmë shumë mirë këto mësime të këqija.,Ne i mësojmë këto mësime të këqija shumë mirë.
alirezamsh/small100,sq,"Now, why does this happen?","Tani, pse ndodh kjo?","Tani, pse ndodh kjo?"
alirezamsh/small100,sq,So what's it like to be a baby?,Çfarë është të jesh një fëmijë?,"Pra, si eshte te jesh bebe?"
alirezamsh/small100,sq,You guys are answering the question: How does it feel to realize you're wrong?,Ju djemtë po i përgjigjeni pyetjes: Si ndiheni të kuptoni se jeni të gabuar?,Ju iu përgjigjët pyetjes: Si ndiheni kur e kuptoni se keni gabuar?
alirezamsh/small100,sq,"On the right side you can see my colleague Soren, who's actually in the space.","Në anën e djathtë mund të shihni kolegin tim Soren, i cili në të vërtetë është në hapësirë.","Ne krahun e djathtë timin mund të shihni kolegun tim Soren, i cili është ne hapsir."
alirezamsh/small100,sq,In a way that dresses like us and thinks like we do.,Në një mënyrë që të vishen si ne dhe të mendojmë si ne.,Në një mënyrë që të vishet si ne dhe të mendojë ashtu si ne.
alirezamsh/small100,sq,"It's an assumption that modernity is a product simply of competition, markets and technology.","Është një supozim se moderniteti është thjesht një produkt i konkurrencës, tregut dhe teknologjisë.","Është një supozim se modernizmi është thjesht një produkt i konkurrencës, tregjeve, dhe teknologjisë."
alirezamsh/small100,sq,So I proposed to the mayor while I was making partitions.,Kështu i kam propozuar kryebashkiak ndërsa isha duke bërë partitë.,Keshtuqe i propozova kryebashkiakut ne kohen kur po beja panelet ndares.
alirezamsh/small100,bg,"Another way of thinking about it is instead of thinking of babies and children as being like defective grownups, we should think about them as being a different developmental stage of the same species — kind of like caterpillars and butterflies — except that they're actually the brilliant butterflies who are flitting around the garden and exploring, and we're the caterpillars who are inching along our narrow, grownup, adult path.","Друг начин да мислим за това е, вместо да мислим за бебетата и децата, че са като дефектни възрастни, ние трябва да мислим за тях като за различен етап на развитие на един и същ вид - вид като пеперутки и пеперутки - с изключение на това, че всъщност те са блестящите пеперутки, които блестяват около градината и изследват, а ние сме пеперутки, които се вдигат по нашия тесен, растеж, пътят на възрастните.","Друг начин да погледнем на нещата е вместо да мислим за бебетата и децата като дефектни възрастни е да гледаме на тях като на различна фаза от развитието на същият вид — например като гъсениците и пеперудите — само че, те всъщност са прекрасните пеперуди, които летят из градината и проучват, а ние сме гъсениците, които напредваме по нашият тесен, пораснал път на възрастни."
alirezamsh/small100,bg,"He has been charged, about five days ago, with obtaining 150,000 cables and releasing 50.",Той е обвинен преди около пет дни за получаване на 150 000 кабели и освобождаване на 50.,"Той бе осъден, преди около пет дни затова че притежава 150 000, и че е пуснал 50."
alirezamsh/small100,bg,"Most of the catadores work independently, picking waste from the streets and selling to junk yards at very low prices.","Повечето от катадорите работят самостоятелно, събират отпадъци от улиците и продават на отпадъци на много ниски цени.","Повечето catadores работят независимо, събират боклук от улиците и го продават на сметищата на много ниска цена."
alirezamsh/small100,bg,I think the important point here is recognizing that all of us are flawed.,"Мисля, че най-важният момент тук е да признаем, че всички ние сме грешни.","Мисля, че важното тук е да осъзнаем, че всички имаме недостатъци."
alirezamsh/small100,bg,We're going to eradicate fear.,Ще премахнем страха.,Но трябва да се освободим от страха.
alirezamsh/small100,bg,Business: The lowest perception in the E.U.,Бизнес: Най-ниското възприятие в ЕС,"Бизнес: най-ниското съзнание в Е.С.,"
alirezamsh/small100,bg,"I had another week until my flight home, and I knew the name of the town that I was in, and the name of the city that I needed to get to to fly out, but I had no idea how to get around.","Имах още една седмица до полета си у дома и знаех името на града, в който бях, и името на града, в който трябваше да излетя, но нямах представа как да се движа наоколо.","Имах седмица до обратния полет и знаех името на града, в който бях и името на града, от който щях да излетя, но нямах представа как да се придвижа."
alirezamsh/small100,bg,"So, so far, collectively all the World of Warcraft gamers have spent 5.93 million years solving the virtual problems of Azeroth.","Така че досега колективно всички играчи на World of Warcraft са прекарали 5,93 милиона години в решаването на виртуалните проблеми на Azeroth.","Затова досега общо всички геймъри в """" Света на Уоркрафт """" са прекарали 5,93 милиона години в разрешаване на виртуалните проблеми на Азерот."
alirezamsh/small100,bg,"Voice: Marco, I did not know you could do that. (Laughter) MT: And is it a coincidence that there are 52 cards in a deck of cards, just as there are 52 weeks in a year?","Глас: Марко, аз не знаех, че можете да направите това. (Смех) MT: И случаен ли е, че има 52 карти в декето на карти, точно както има 52 седмици в годината?","Глас: Марко, не знаех, че можеш да правиш това. (Смях) МТ: Съвпадение е ли, че има 52 карти в една колода карти и има 52 седмици в годината?"
alirezamsh/small100,bg,Thank you.,Благодаря. 🙂,Благодаря ви.
alirezamsh/small100,bg,So we used the same window vocabulary to construct our own frame or grid that's suspended in the room and that can be viewed from two sides.,"Така че използвахме същия прозорец на речник, за да изградим нашата собствена рамка или мрежа, която е суспендирана в стаята и която може да се види от двете страни.","И така, ние използвахме представата за същия този прозорец, за да конструираме наша собствена рамка или решетка, която е окачена в стаята и може да се види от две страни."
alirezamsh/small100,bg,You can see where the limits of the reserve are because you see the boats lined up.,"Можете да видите къде са границите на резерва, тъй като виждате лодките, които се поставят нагоре.","Вижда се къде са границите на резервата, защото виждаш подредените лодки."
alirezamsh/small100,bg,(Applause) So when did this habit start?,"(Аплодисменти) И така, кога започна този навик?","(Ръкопляскане) И така, кога се е появил този навик?"
