Dataset,Language,Source Sentence,Translation,Reference Sentence
TED,sq,"It was like, """" Don't mess with me.",Ishte si: “Mos u shqetësoni me mua.,"ishte pak a shume, """" Mos u ngaterro me mua."
TED,sq,Do not fear what has blown up.,Mos kini frikë nga ajo që ka shpërthyer.,Mos u frikeso nga ajo c 'ka shpertheu.
TED,sq,"So if you look at the hip surgery story again, there was a study done a couple years ago where they compared the U.S. and Sweden.","Pra, nëse shikoni historinë e kirurgjisë hip përsëri, ka pasur një studim të bërë disa vjet më parë ku ata krahasuan SHBA-në dhe Suedi.","Pra n.q.s shikojmë tek kirurgjia e legenit përsëri, ka qënë bërë një studim disa vite më parë që kanë krahasur U.S dhe Suedinë."
TED,sq,"Life is a right, not collateral or casual.","Jeta është e drejtë, jo kolateral apo rastësor.","Jeta eshte e drejte, nuk vjen si pasoje e as rastesisht."
TED,sq,"This can be viewed from any of the cardinal directions to show you the 3D structure of the city, all the facades.","Kjo mund të shihet nga ndonjë nga drejtimet kardinalë për t'ju treguar strukturën 3D të qytetit, të gjitha fasadat.","Kjo mund të shihet nga secili nga drejtimet kryesore t 'ju tregojë strukturën 3D te qytetit, të gjitha fasadat."
TED,sq,"Today, viruses are a global problem.","Sot, viruset janë një problem global.",Sot viruset janë një problem global.
TED,sq,"(Laughter) Through the artifacts, I bring social issues which surround me in Russia into the conversation.","(qesh) Nëpërmjet artefakteve, unë sjell në bisedë çështjet sociale që më rrethojnë në Rusi.",(Te qeshura) Nepermjet objekteve une sjell ceshtje sociale qe me rrethojne mua ne Rusi neper biseda.
TED,sq,Every single email you write is saved and sent to the criminals.,Çdo email që shkruani është shpëtuar dhe dërguar për kriminelët.,Çdo email që shkruani ruhet dhe u dërgohet shkelësve të ligjit.
TED,sq,"But combined in a certain way, they can create something that still looks three-dimensional, like it could exist.","Por së bashku në një mënyrë të caktuar, ata mund të krijojnë diçka që ende duket tre-dimensionale, sikur mund të ekzistojë.","Mirëpo të kombinuar në mënyra të ndryshme, ato mund të krijojnë diçka që mund të duket me të vërtetë tri-dimensionale, sikur të kishte ekzistruar."
TED,sq,We have to try better. Let's show them another example.,"Ne duhet të provojmë më mirë, le t’i tregojmë atyre një shembull tjetër.",Ne duhet të përpiqemi më shumë. Le t 'ju japim atyre një shembull tjetër.
TED,sq,The best part about restorative seafood though is that it comes on the half-shell with a bottle of Tabasco and lemon wedges.,"Pjesa më e mirë në lidhje me ushqimet e detit restaurative, megjithatë, është se ajo vjen në gjysmë-shell me një shishe të Tabasco dhe të limonit.",Por pjesa me e mire mbi ushqim deti restaurues eshte qe vjen ne gjysem me nje shishe Tabasco dhe copa limoni.
TED,sq,"At that moment, I started thinking.",Në atë moment fillova të mendoj.,"Në atë moment, fillova të mendoj."
TED,sq,We learn these really bad lessons really well.,Ne mësojmë shumë mirë këto mësime të këqija.,Ne i mësojmë këto mësime të këqija shumë mirë.
TED,sq,"Now, why does this happen?","Tani, pse ndodh kjo?","Tani, pse ndodh kjo?"
TED,sq,So what's it like to be a baby?,Çfarë është të jesh një fëmijë?,"Pra, si eshte te jesh bebe?"
TED,sq,You guys are answering the question: How does it feel to realize you're wrong?,Ju djemtë po i përgjigjeni pyetjes: Si ndiheni të kuptoni se jeni të gabuar?,Ju iu përgjigjët pyetjes: Si ndiheni kur e kuptoni se keni gabuar?
TED,sq,"On the right side you can see my colleague Soren, who's actually in the space.","Në anën e djathtë mund të shihni kolegin tim Soren, i cili në të vërtetë është në hapësirë.","Ne krahun e djathtë timin mund të shihni kolegun tim Soren, i cili është ne hapsir."
TED,sq,In a way that dresses like us and thinks like we do.,Në një mënyrë që të vishen si ne dhe të mendojmë si ne.,Në një mënyrë që të vishet si ne dhe të mendojë ashtu si ne.
TED,sq,"It's an assumption that modernity is a product simply of competition, markets and technology.","Është një supozim se moderniteti është thjesht një produkt i konkurrencës, tregut dhe teknologjisë.","Është një supozim se modernizmi është thjesht një produkt i konkurrencës, tregjeve, dhe teknologjisë."
TED,sq,So I proposed to the mayor while I was making partitions.,Kështu i kam propozuar kryebashkiak ndërsa isha duke bërë partitë.,Keshtuqe i propozova kryebashkiakut ne kohen kur po beja panelet ndares.
TED,bg,"Another way of thinking about it is instead of thinking of babies and children as being like defective grownups, we should think about them as being a different developmental stage of the same species — kind of like caterpillars and butterflies — except that they're actually the brilliant butterflies who are flitting around the garden and exploring, and we're the caterpillars who are inching along our narrow, grownup, adult path.","Друг начин да мислим за това е, вместо да мислим за бебетата и децата, че са като дефектни възрастни, ние трябва да мислим за тях като за различен етап на развитие на един и същ вид - вид като пеперутки и пеперутки - с изключение на това, че всъщност те са блестящите пеперутки, които блестяват около градината и изследват, а ние сме пеперутки, които се вдигат по нашия тесен, растеж, пътят на възрастните.","Друг начин да погледнем на нещата е вместо да мислим за бебетата и децата като дефектни възрастни е да гледаме на тях като на различна фаза от развитието на същият вид — например като гъсениците и пеперудите — само че, те всъщност са прекрасните пеперуди, които летят из градината и проучват, а ние сме гъсениците, които напредваме по нашият тесен, пораснал път на възрастни."
TED,bg,"He has been charged, about five days ago, with obtaining 150,000 cables and releasing 50.",Той е обвинен преди около пет дни за получаване на 150 000 кабели и освобождаване на 50.,"Той бе осъден, преди около пет дни затова че притежава 150 000, и че е пуснал 50."
TED,bg,"Most of the catadores work independently, picking waste from the streets and selling to junk yards at very low prices.","Повечето от катадорите работят самостоятелно, събират отпадъци от улиците и продават на отпадъци на много ниски цени.","Повечето catadores работят независимо, събират боклук от улиците и го продават на сметищата на много ниска цена."
TED,bg,I think the important point here is recognizing that all of us are flawed.,"Мисля, че най-важният момент тук е да признаем, че всички ние сме грешни.","Мисля, че важното тук е да осъзнаем, че всички имаме недостатъци."
TED,bg,We're going to eradicate fear.,Ще премахнем страха.,Но трябва да се освободим от страха.
TED,bg,Business: The lowest perception in the E.U.,Бизнес: Най-ниското възприятие в ЕС,"Бизнес: най-ниското съзнание в Е.С.,"
