Dataset,Language,Source Sentence,Translation,Reference Sentence
WMT,bg,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.
""What are those things?"" Kayel asked.
""I don't know,"" Ten","Въпреки това Тенук и Кайел бързо осъзнаха, че не са сами. Второ тъмно създание се изстреля зад тях и Тенук едва успя да избегне сблъсъка."
WMT,bg,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.
Tenuk had always been fascinated by the Thraki's ability to change","Тенук се поколеба, след това пристъпи назад, освобождавайки си място. Със слаб, леко болезнен вик тялото на Тенук се издължи, козината му се смени с люспи, а ръцете му – с крила. Той бързо се превърна в нормално, светлосиньо Траки, но очите му останаха червени."
WMT,bg,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.
“I’m sure she’ll let us in,” Ivory said.
“","Чудеше се дали сега въобще ще го пусне вътре, но за разлика от предните пъти, този път той попита. Все още имам синина от последния път. Айвъри се засмя, като си спомни. Кари хвърли книга към рамото му, но щом видя кой е, се извини веднага."
WMT,bg,"The ESP didn't go online immediately, let's give it a few minutes.","The ESP didn't go online immediately, let's give it a few minutes.
The ESP didn't go online immediately, let's give it a few minutes.
","ESP не се показва онлайн веднага, да изчакаме няколко минути."
WMT,bg,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.
“In the wine sector, we have a lot of small and medium-sized enterpr","Игнасио Санчез Рекарте, генерален секретар на търговската асоциация Comité Européen des Entreprises Vins, представляваща около 7000 винопроизводители от цяла Европа, не приема притесненията на производителите на бира. Той заяви за Euronews, че пазарът, доминиран от мултинационални пивоварни конгломерати, не може по никакъв начин да се сравнява с пазар, съставен почти изцяло от малки местни производители."
WMT,bg,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6 @user7 @user8 @user9 @user10 @user11 @user1,@user4 @user3 @user5 @user6
WMT,bg,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.
The SNP's talk of recovery plans and action plans is simply that - talk, and","Съдейки по състоянието на болниците ни, SNP и обещанията им за план за възстановяване и план за действие са само това – обещания, при това опасни. Не трябва да позволяваме на некомпетентни политици да ни въвлекат в съучастие в срутването на тази велика британска институция, Националната здравна служба (NHS)."
WMT,bg,🚨 breaking news:,🚨 breaking news: 🚨 🚨 🚨 🚨,🚨 горещи новини:
WMT,bg,This song is encapsulates my predicament…,"This song is encapsulates my predicament… I’m in love with someone who doesn’t feel the same way.
I’m",Тази песен обобщава моето положение...
WMT,bg,Both the old and the new Listing titles call it a 12V 10W panel.,"Both the old and the new Listing titles call it a 12V 10W panel.
The new Listing titles call it a 12V 10W panel.
","И в новата, и в старата обява се казва панел 12 V 10 W."
